"2014-08-31 12:05:57",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-08-31 12:06:14","AIR:401000000","building-toon",401000050,"2000|18"
"2014-08-31 12:06:14","AIR:401000000","building-toon",401000056,"2000|14"
"2014-08-31 12:06:14","AIR:401000000","building-toon",401000063,"2000|16"
"2014-08-31 12:06:14","AIR:401000000","building-toon",401000069,"2000|21"
"2014-08-31 12:06:14","AIR:401000000","building-toon",401000075,"2000|13"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000104,"2100|1"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000110,"2100|2"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000115,"2100|3"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000121,"2100|4"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000127,"2100|6"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000132,"2100|7"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000138,"2100|10"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000144,"2100|11"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000149,"2100|16"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000155,"2100|18"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000161,"2100|17"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000167,"2100|21"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000173,"2100|24"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000179,"2100|25"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000185,"2100|26"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000191,"2100|29"
"2014-08-31 12:06:15","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000199,"2100|33"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000205,"2100|38"
"2014-08-31 12:06:15","AIR:401000000","building-cog",401000210,"2100|57|c|1"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000212,"2100|39"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000218,"2100|43"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000224,"2100|44"
"2014-08-31 12:06:15","AIR:401000000","building-cog",401000230,"2100|49|c|1"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000232,"2100|60"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000238,"2100|52"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000243,"2100|53"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000248,"2100|55"
"2014-08-31 12:06:15","AIR:401000000","building-toon",401000254,"2100|54"
