"2014-09-06 21:10:03",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000050,"2000|18"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000056,"2000|14"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000063,"2000|16"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000069,"2000|21"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000075,"2000|13"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000104,"2100|1"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000110,"2100|2"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000115,"2100|3"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000121,"2100|4"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000127,"2100|6"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000132,"2100|7"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000138,"2100|10"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000144,"2100|11"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000149,"2100|16"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000155,"2100|18"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000161,"2100|17"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000167,"2100|21"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000173,"2100|24"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000179,"2100|25"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000185,"2100|26"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000191,"2100|29"
"2014-09-06 21:11:08","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000199,"2100|33"
"2014-09-06 21:11:08","AIR:401000000","building-cog",401000205,"2100|38|m|1"
"2014-09-06 21:11:08","AIR:401000000","building-cog",401000207,"2100|57|c|1"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000209,"2100|39"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000215,"2100|43"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000221,"2100|44"
"2014-09-06 21:11:08","AIR:401000000","building-cog",401000227,"2100|49|c|1"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000229,"2100|60"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000235,"2100|52"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000240,"2100|53"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000245,"2100|55"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000251,"2100|54"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000257,"2100|56"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000263,"2100|59"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000269,"2100|61"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000275,"2100|67"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000281,"2100|63"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000286,"2100|62"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000292,"2100|64"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000298,"2100|66"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000304,"2100|65"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000310,"2100|69"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000316,"2100|70"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000331,"2200|1"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000336,"2200|4"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000341,"2200|5"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000347,"2200|8"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000353,"2200|43"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000358,"2200|44"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000363,"2200|11"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000369,"2200|12"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000375,"2200|13"
"2014-09-06 21:11:08","AIR:401000000","building-cog",401000381,"2200|14|l|2"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000383,"2200|16"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000389,"2200|48"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000394,"2200|17"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000400,"2200|20"
"2014-09-06 21:11:08","AIR:401000000","building-cog",401000406,"2200|39|l|2"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000408,"2200|25"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000413,"2200|27"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000419,"2200|28"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000425,"2200|30"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000431,"2200|29"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000437,"2200|31"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000442,"2200|32"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000448,"2200|33"
"2014-09-06 21:11:08","AIR:401000000","building-cog",401000454,"2200|34|l|2"
"2014-09-06 21:11:08","AIR:401000000","building-toon",401000456,"2200|35"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000462,"2200|47"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000467,"2200|41"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000472,"2200|40"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000487,"2300|1"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000493,"2300|2"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000499,"2300|3"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000504,"2300|4"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000510,"2300|39"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000516,"2300|41"
"2014-09-06 21:11:09","AIR:401000000","building-cog",401000521,"2300|37|s|3"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000523,"2300|9"
"2014-09-06 21:11:09","AIR:401000000","building-toon",401000529,"2300|14"
